,angel,convertible_note,debt_financing,equity_crowdfunding,grant,non_equity_assistance,post_ipo_debt,post_ipo_equity,private_equity,product_crowdfunding,secondary_market,seed,undisclosed,venture
4789,,,,,,,50000000,,,,,,,
4790,,,,,,,,,8950000,,,,,
4791,,,,,,,,,,,,150000,,
4792,,,,,,,,,,,,50000,,
4793,50000,,,,,,,,,,,,,
4794,,,,,16600000,,,,,,,,,
4795,,,,,,,,,,,,,,12620000
4796,,,,,,,,,,,,100000,,
4797,,,,,,,,,,,,500000,,
4798,,,135000000,,,,,,,,,,,
4799,,,,,,,,,,,,,,12500000
4800,,,,,,,,,,,,,,12100000
4801,,,,,,,,,,,,,,10000000
4802,,300000,,,,,,,,,,,,
4803,,,,,,,,,,,,,,63000
4804,,,,,,,,,,,,,,4800000
4805,,,,,,,,,,,,,,16000000
4806,,,,,,,,,,,,,,7500000
4807,,,,,,,,,,,,1300000,,
4808,,,,,,,,,,,,,,
4809,,,,,,,,,,,,2100000,,
4810,,,,,,,,,,,,200000,,
4811,,,,,,,,,,,,,,
4812,,,,,,,,,,,,,,1000000
4813,,,,,,,,,,,,,,3900000
4814,,,,,,,,,,,,,,1000000
4815,,,,,163000,,,,,,,,,
4816,,,,,,,,,,,,285108,,
4817,,,,,,,,,,,,,,858000
4818,,,,,,,,,,,,,,2950000
4819,,,,,,,,,,,,,,6377770
4820,,,,,,,,,,,,,,853501
4821,,,,,,,,,,,,,,920190
4822,,,,,,,,,,,,1260000,,
4823,,,,,,,,,,,,,,1700000
4824,,,,,,,,,72000000,,,,,
4825,,,,,,,,,,,,,,15000000
4826,,,,,,,,,102000000,,,,,
4827,,,,,,,,,,,,,3050505,
4828,,,,,,,,,,,,,,7000000
4829,,,,,,,,,,,,,,10000000
4830,,,,,,,,,30000000,,,,,
4831,,,,,,,,,,,,,,
4832,,,,,,,,,,,,,,8000000
4833,,,,,,,,,,,,,,25000000
4834,,,,,,,,,,,,,,26000000
4835,,,,,,,,,,,,,,25000000
4836,,,,,,,,,,,,,,22000000
4837,,,,,,,,,,,,,,18000000
4838,,,,,,,,,,,,,,6466666
4839,,,,,,,,,,,,,,17000000
4840,,,46000,,,,,,,,,,,
4841,,,,,,,,,,,,210000,,
4842,,,,,,,,,,,,,,26250000
4843,,,,,,,,,,,,,,15102417
4844,,,,,,,,,,,,,,2400000
4845,,,,,,,,,,,,,,1000000
4846,,,,,,,,,,,,,,1000000
4847,,,,,,,,,,,,22950,,
4848,,,,,,,,,,,,,,387996
4849,,,,,,,,,,,,250000,,
4850,,,,,,,,,,,,150000,,
4851,,,,,,,,,,,,25000,,
4852,,,,,,,,,,,,,,50000
4853,,,685000,,,,,,,,,,,
4854,,,,,,,,,,,,,,3000000
4855,,,,,,,,,,,,,,441000
4856,,,,,,,,,,,,,,9400000
4857,,,,,,,,,,,,,,16500000
4858,,,,,,,,,,,,,,7100000
4859,,,,,,,,,,,,100000,,
4860,,,,,,,,,,,,,,3050000
4861,,,,,,,,,,,,,,
4862,,,,,,,,,,,,,,2640000
4863,,,,,,,,,,,,,,2500000
4864,,,15000000,,,,,,,,,,,
4865,,,,,,,,,,,,,,10310133
4866,,,,,,,,,,,,,,10000000
4867,,,2000200,,,,,,,,,,,
4868,,,,,,,,,,,,,,8000000
4869,,,,,,,,,,,,,,2500000
4870,,,,,,,,,,,,,,10000000
4871,,,,,,,,,,,,,,1000000
4872,,,4250000,,,,,,,,,,,
4873,7000000,,,,,,,,,,,,,
4874,,,,,,,,,,,,,,10000
4875,,,,,,,,,,,,,,
4876,,,,,,,,,,,,,,12000000
4877,,,,,,,,,,,,,,2500000
4878,,,,,,,,,,,,,,7500000
4879,,,,,,,,,,,,,,6000000
4880,,,,,,,,,,,,,,6000000
4881,,,,,,,,,,,,,,85000000
4882,,,,,,,,,,,,,,60000000
4883,,,,,,,,,,,,,,12000000
4884,,,,,,,,,,,,,,
4885,,,,,,,,,,,,,,
4886,,,,,,,,,,,,,,3000000
4887,,,,,,,,,,,,,,23000000
4888,,,,,,,,,,,,,,3574514
4889,,,,,,,,,,,,,,150000
4890,,,,,,,,,,,,,,7249849
4891,,,,,,,,,,,,,,12500000
4892,,,,,,,,,,,,,,20000000
4893,,,,,,,,,,,,,,15000000
4894,,,1970243,,,,,,,,,,,
4895,,,,,,,,,8085705,,,,,
4896,,,,,,,,,,,,,,3855000
4897,,,,,,,,,,,,,,4310000
4898,,,,,,,,,,,,1157500,,
4899,,,,,,,,,,,,,,10500000
4900,,,,,,,,,,,,,,6700000
4901,,,,,,,,,,,,,,21000000
4902,,,,,,,,,,,,,,4100000
4903,,,,,,,,,,,,,,17000000
4904,,,,,,,,,,,,,,13000000
4905,,,,,,,,,,,,,,22000000
4906,,,,,,,,,,,,,,21000000
4907,,,,,,,,,,,,,,8000000
4908,,,,,,,,,,,,,,1000000
4909,,,,,,,,,,,,,,3284998
4910,,,,,,,,,,,,,,1600000
4911,,,,,,,,,,,,,,9500000
4912,,,,,,,,,,,,,,69999993
4913,,,,,,,,,,,,,,9500000
4914,,,,,,,,,,,,,,10500000
4915,,,,,,,,,,,,,,50000002
4916,,,,,,,,,,,,,,30000000
4917,,,,,,,,,,,,,,12000000
4918,,,,,,,,,,,,,,
4919,,,,,,,,,,,,,,
4920,,,,,,,,,,,,,,
4921,,,,,,,,,,,,380000,,
4922,,,,,,,,,,,,,,
4923,,,,,,,,,,,,,,30000000
4924,,,,,,,,,,,,200000,,
4925,,,,,,,,,,,,,,5000000
4926,,,7000000,,,,,,,,,,,
4927,,,,,,,,,,,,275000,,
4928,,,,,,,,,,,,,741000,
4929,,,,,,,,,,,,,,
4930,,,,,,,,,,,,,,8000000
4931,,,,,,,,,,,,,,18600000
4932,,,,,,,,,,,,,,
4933,,,,,,,,,,,,,,
4934,,,,,,,,,,,,40000,,
4935,,,,,,,,,,,,405348,,
4936,,,,,,,,,,,,,,6000000
4937,,,,,,,,,,,,,,6000000
4938,,,,,,,,,,,,,,8000000
4939,,,,,,,,,,,,,,6000000
4940,,,,,,,,,,,,,,12000000
4941,,,,,,,,,7800000,,,,,
4942,,,,,,,,,,,,2000000,,
4943,,,,,,,,,,,,,,
4944,,,,,,,,,,,,,,
4945,,,745000,,,,,,,,,,,
4946,,,,,,,,,,,,,,7475000
4947,,,,,,,,,,,,,,1189045
4948,,,,,,,,,,,,,,1625000
4949,,,,,,,,,5500000,,,,,
4950,,,647000,,,,,,,,,,,
4951,,,,,,,,,,,,,,11300000
4952,,,,,,,,,10715447,,,,,
4953,,,,,,,,,,,,,,15000000
4954,,,,,,,,,,,,,,10300000
4955,,,,,,,,,,,,,,6000000
4956,,,,,,,,,,,,,,10000000
4957,,,,,,,,,,,,,,1500000
4958,,,,,,,,,,,,,,16000000
4959,,,,,,,,,,,,,,15000000
4960,,,,,,,,,,,,,,1000000
4961,,,165500000,,,,,,,,,,,
4962,,,,,,,,,,,,,,63000000
4963,,,,,,,,,,,,,,4000000
4964,,,,,,,,,,,,,,1243288
4965,,,,,,,,,,,,,,2000000
4966,,,,,,,,,,,,,,2000000
4967,,,1750000,,,,,,,,,,,
4968,,,1500000,,,,,,,,,,,
4969,,,600000,,,,,,,,,,,
4970,,,,,,,,,,,,,,4700000
4971,,,,,,,,,,,,,,3000000
4972,,,1199393,,,,,,,,,,,
4973,,,,,,,,,,,,,,
4974,,,,,,,,,,,,,,
4975,,,,,,,,,,,,,,
4976,,,,,,,,,,,,,,33000000
4977,,,,,,,,,,,,,,100000000
4978,,,,,,,,,,,,,,
4979,,,,,,,,,,,,,,7999999
4980,,,,,,,,,,,,,,6000000
4981,,,,,,,,,,,,,,20000000
4982,,,,,,,,,,,,,,6000000
4983,,,,,,,,,,,,,,51000000
4984,,,,,,,,,,,,,,35000000
4985,,,,,,,,,,,,20000,,
4986,,,,,,,,,,,,185000,,
4987,,,,,,,,,,,,624234,,
4988,,,,,,,,,,,,,,
4989,,,,,,,,,,,,1050000,,
4990,,,,,,,,,,,,,,
4991,,,,,,,,,,,,,,
4992,,,,,,,,,,,,500000,,
4993,,,,,,,,,,,,20000,,
4994,,,,,,,,,,,,40000,,
4995,,,,,,,,,,,,125000,,
4996,,,,,,,,,,,,1300000,,
4997,20000,,,,,,,,,,,,,
4998,,,,,,,,,,,,,,10000000
4999,,,,,,,,,,,,,,13500000
5000,,,,,,,,,,,,,,14000000
5001,,,,,,,,,,,,,,6610403
5002,,,,,,,,,,,,,,15800000
5003,,,,,,,,,,,,,,10000000
5004,,,3750000,,,,,,,,,,,
5005,,,,,,,,,,,,,,2581340
5006,,,,,,,,,,,,,1590412,
5007,,,,,,,,,,,,,,3710685
5008,,,,,,,,,,,,572394,,
5009,,,,,,,,,,,,,,
5010,,,,,,,,,,,,,,5000000
5011,,,,,,,,,,,,,,10000000
5012,590000,,,,,,,,,,,,,
5013,,,,,,,,,,,,,,10000000
5014,,,,,,,,,,,,,,7700000
5015,,,,,,,,,,,,,,12000000
5016,,,6006000,,,,,,,,,,,
5017,,,,,,,,,,,,,,8000000
5018,,,6006000,,,,,,,,,,,
5019,,,,,,,,,,,,,,26500000
5020,,,,,,,,,70000000,,,,,
5021,,,,,,,,,,,,,,21500000
5022,,,,,,,,,,,,,,
5023,,,,,,,,,,,,,,2000000
5024,,,,,,,,,,,,650000,,
5025,,,,,,,,,,,,,,450000
5026,,,,,,,,,,,,,,500000
5027,,,,,,,,,,,,,,
5028,,,,,,,,,,,,300000,,
5029,,,,,,,,,,,,,,
5030,,,,,,,,,,,,,,5064000
5031,,,,,,,,,,,,,,6334000
5032,,,,,,,,,,,,,,13460098
5033,,,,,,,,,,,,,,4250000
5034,,,,,,,,,,,,37994,,
5035,,,80000,,,,,,,,,,,
5036,,,,,,,,,,,,,,10000000
5037,,,,,,,,,,,,,,3050000
5038,,,6905000,,,,,,,,,,,
5039,,,,,,,,,,,,,,
5040,,,,,,,,,,,,,,
5041,,,,,,,,,,,,,,12500000
5042,,,,,,,,,,,,,,15773584
5043,,,,,,,,,,,,,,3442357
5044,,,,,,,,,,,,,,39843400
5045,,,,,,,,,,,,,61399,
5046,,,,,,,,,,,,,,5400000
5047,,,,,,,,,,,,,,7400000
5048,,,,,,,,,,,,,,2674800
5049,,,,,,,,,,,,,,
5050,,,,,,,,,,,,,,5500000
5051,,,,,,,,,,,,,,25378200
5052,,,,,,,,,,,,,,
5053,,,,,,,,,,,,,,20000000
5054,,,,,,,,,,,,,,12000000
5055,,,,,,,,,,,,,,20000000
5056,,,,,,,,,,,,,,24000000
5057,,,,100000,,,,,,,,,,
5058,,,,,,,,,,,,,,
5059,,,,,,,,,,,,,,
5060,,,,,,,,,,,,,,1000000
5061,,,,,,,,,,,,75000,,
5062,,,,,,,,,,,,,,20000000
5063,,,,,,,,,,,,,,3000000
5064,,,,,,,,,,,,1299327,,
5065,,,,,,,,,,,,30000,,
5066,,0,,,,,,,,,,,,
5067,,,,,,,,,70000000,,,,,
5068,,,,,,,,,,,,,,1626000
5069,,,,,,,,,,,,,,592365
5070,,,,,,,,,,,,,,
5071,,,,,,,,,,,,45000,,
5072,,,,,,,,,,,,,,
5073,,,,,,,,,,,,,,800000
5074,,,,,,,,,,,,,,
5075,,,,,,,,153721622,,,,,,
5076,,,,,,,,,,,,,,3960000
5077,,,,,,,,,,,,500000,,
5078,,,,,,,,,,,,300000,,
5079,,,,2000,,,,,,,,,,
5080,,,,,,,,,,,,,,1569024
5081,,,,,,,,,,,,1032861,,
5082,,,,,,,,,,,,,,8000000
5083,,,,,,,,,,,,,,430548
5084,,,,,,,,,,,,,,15400000
5085,,,,,,,,,,,,,,2798434
5086,,,,,,,,,,,,,,
5087,,,,,,,,,,,,18000,,
5088,,,,,,,,,,,,,,2350000
5089,,,,,,,,,,,,18000,,
5090,,,,,,,,,,,,,,
5091,,,,,,,,,,,,,84178,
5092,,,85000,,,,,,,,,,,
5093,,,3000000,,,,,,,,,,,
5094,,,225000,,,,,,,,,,,
5095,,,,,,,,,,,,,,
5096,,,,,,,,,,,,,,
5097,,,,,,,,,,,,,,6700000
5098,,,,,,,,,,,,40000,,
5099,,,,,,,,,,,,500000,,
5100,,,,,,,,,,,,,,13600000
5101,,,,,,,,,,,,,,9000000
5102,,,,,,,,,,,,,,19300000
5103,,,,,,,,,,,,,,25000000
5104,,,,,,,,,,,,,,25000000
5105,,,,,,,,,,,,,,800000
5106,,,,,,,,,,,,,,2000000
5107,,,,,,,,,,,,,,500000
5108,,,,794942,,,,,,,,,,
5109,,,,,,,,,,,,118000,,
5110,,,,,,,,,,,,1185800,,
5111,,577000,,,,,,,,,,,,
5112,,,,,,,,,,,,,,105000
5113,,,,,,,,,,,,,,500000
5114,,,,,,,,,,,,,,5000000
5115,,,,,,,,,,,,,,857000
5116,,,,,,,,,,,,,,1600000
5117,,,,,,,,,,,,,,800000
5118,,,,,,,,,,,,,,5000000
5119,,,,,,,,,,,,,,2000000
5120,,,,,,,,,,,,300000,,
5121,,,,,,,,,,,,,,200000
5122,,,,,,,,,,,,900000,,
5123,,,,,,,,,,,,,,
5124,525000,,,,,,,,,,,,,
5125,,,,,,,,,,,,475000,,
5126,,,,,,,,,,,,,,23999970
5127,,,,,,,,,,,,,,3600000
5128,,,,,,,,,,,,,,10000000
5129,,,,,,,,,,,,250000,,
5130,,,694023,,,,,,,,,,,
5131,,,,,,,,,,,,,,3225405
5132,,,,,,,,,,,,,,1099181
5133,,90000,,,,,,,,,,,,
5134,,,,,,,,,,,,2400000,,
5135,,,,,,,,,,,,,,15600000
5136,,,,,,,,,,,,,,30000000
5137,,,14999327,,,,,,,,,,,
5138,,,,,,,,,,,,,,12000000
5139,,,,,,,,,,,,,,31000000
5140,,,,,,,,,,,,,,50000000
5141,,,,,,,,,,,,,,49300000
5142,,,6428542,,,,,,,,,,,
5143,,,,,,,,,,,,,,
5144,,,,,,,,,,,,2000000,,
5145,,,,,,,,,,,,,559521,
5146,,,,,,,,,,,,,,10000000
5147,,,,,,,,,,,,,,103000000
5148,,,,,,,,,,,,,,54000000
5149,,,,,,,,,,,,,,
5150,,,,,,,,,,,,,,15000000
5151,,,,,,,,,,,,,,35000000
5152,,,,,,,,,,,,,,706924
5153,,,,,,,,,,,,,,
5154,,,,,,,,,,,,,,10400000
5155,,,,,,,,,,,,,,
5156,,,,,,,,,,,,600000,,
5157,,,,,,,,,,102824,,,,
5158,,,,,,,,,,,,,,10000000
5159,,,,,,,,,,,,,,1120000
5160,,,,,,,,,,,,110000,,
5161,,,,,,,,,,,,,,
5162,,,,,,,,,,,,,,
5163,,,,,,,,,,,,,,6747501
5164,,,1327250,,,,,,,,,,,
5165,,,21500000,,,,,,,,,,,
5166,,,26000000,,,,,,,,,,,
5167,,,,,,,,,,,,,,13200000
5168,,,,,,,,,,,,,,30000000
5169,,,22125000,,,,,,,,,,,
5170,,,,,,,,,,,,,,30000000
5171,,,,,,,,,,,,,,
5172,,,,,,,,,,,,,,
5173,,,,,,,,,,,,,,989240
5174,,,,,,,,,,,,,,250000
5175,,,,,,,,,,,,,,2000000
5176,,,3000000,,,,,,,,,,,
5177,,,,,,,,,,,,,,5500000
5178,,,,,,,,,,,,,,
5179,,,,,,,,,,,,,,1680000
5180,,,,,,,,,,,,,,
5181,,,,,,,,,,,,2000000,,
5182,,,,,,,,,,,,1000000,,
5183,,,,,,,,,,,,,,3450000
5184,,,,,,,,,,,,,,280000
5185,,,,,,,,,,,,20000,,
5186,,,,,,,,,,,,,,
5187,,,,670000,,,,,,,,,,
5188,,,,,,,,,,,,,,6488000
5189,,,350000,,,,,,,,,,,
5190,,,,,,,,,,,,,,110000
5191,,,,,,,,,,,,,,1929015
5192,,,,,,,,,,,,,,4000000
5193,,,,,,,,,,,,,,4690811
5194,,,,,,,,,,,,,,7986911
5195,,,,,,,,,,,,,,3200000
5196,,,,,,,,,,,,,,2500000
5197,,,,,,,,,,,,,,5088500
5198,,,,,,,,,,,,350000,,
5199,,,,,,,,,,,,,,
5200,,,,,,,,,,,,,,
5201,,,25000000,,,,,,,,,,,
5202,,,,,,,,,,,,,,249999
5203,,,,,,,,,,,,,,553731
5204,,,,,,,,,,,,,,1001500
5205,,,,,,,,,,,,,,4030000
5206,,,,,,,,,,,,,,35000000
5207,,,,,,,,,,,,,,1300000
5208,,,,,2000000,,,,,,,,,
5209,,,,,,,,,,,,,,2500000
5210,,,,,,,,,,,,,,
5211,,,,,,,6000000,,,,,,,
5212,,,,,,,,2000000,,,,,,
5213,,,,,,,5000000,,,,,,,
5214,,,,,,,,,,,,,,2520000
5215,,,,,,,2601600,,,,,,,
5216,170000,,,,,,,,,,,,,
5217,,,10000000,,,,,,,,,,,
5218,,,,,,,,,,,,,,
5219,,,,5300000,,,,,,,,,,
5220,,,,,,,,,,,,,,2100000
5221,,,,,,,,,,,,,,
5222,,,,,,,,,,,,,,4500000
5223,,,,,,,,,,,,,,70000000
5224,,,,,,,,,,,,,,
5225,,,,,,,,,,,,,,6000000
5226,,,,0,,,,,,,,,,
5227,,,,,,,,,,,,1324999,,
5228,,,,,,,,,,,,,,340000
5229,,,,,,,,,,,,,,1399996
5230,,,,,,,,,,,,,,4214847
5231,,,,670000,,,,,,,,,,
5232,,,,,,,,,,,,,,1240000
5233,,,,,,,,,,,,,,2500000
5234,,,,,,,,,,,,500000,,
5235,,,,,,,,,,,,,,
5236,,,,,,,,,,,,,,1000000
5237,,,,,,,,,,,,,,250000
5238,,,,,,,,,,,,,,1655701
5239,,,,,,,,,,,,999991,,
5240,,,,,,,,,,,,1208044,,
5241,,,,,,,,,,,,1655701,,
5242,,,,,,,,,,,,,,
5243,,,,,,,,,,,,,,3000000
5244,,,,,,,,,,,,,,90328
5245,,,,,,,,,,,,,,127380
5246,,,,,,,,,,,,,,263500
5247,,,,,,,,,,,,296487,,
5248,,,,,,,,,,,,,,
5249,,,,,,,,,,,,1000000,,
5250,,,,,,,,,,,,612500,,
5251,,,,,,,,,,,,,,
5252,,,,,7500000,,,,,,,,,
5253,,,,,,,,,,,,150000,,
5254,,,,,,,,,5999999,,,,,
5255,,,,325000,,,,,,,,,,
5256,,,,,,,,,,,,,,3597688
5257,,,275000,,,,,,,,,,,
5258,,,675000,,,,,,,,,,,
5259,,,860000,,,,,,,,,,,
5260,,,,,,,,,,,,,,2600000
5261,,,,,5500,,,,,,,,,
5262,,,,,,,,,,,,,,155838
5263,,,,,,,,,,,,,,5000000
5264,,,,,,,,,,,,,,9422891
5265,,,10000000,,,,,,,,,,,
5266,,,,100000,,,,,,,,,,
5267,,,1081000,,,,,,,,,,,
5268,,130000,,,,,,,,,,,,
5269,,,,,,,,,,,,,,4500000
5270,,,100000,,,,,,,,,,,
5271,,,150000,,,,,,,,,,,
5272,,,400000,,,,,,,,,,,
5273,,,1000000,,,,,,,,,,,
5274,,,,,,,,,,,,,,
5275,,,,,,,,,,,,,,2500000
5276,,,1350000,,,,,,,,,,,
5277,,,,,,,,,,,,,,
5278,,,1965000,,,,,,,,,,,
5279,,,,,,,,,,,,,,
5280,,,,,,,,,,,,,,81000000
5281,,,10000000,,,,,,,,,,,
5282,,,,,,,,,,,,,,5000000
5283,,,,,,,,,,,,,,37149345
5284,,,,,,,,,,,,40000,,
5285,,200000,,,,,,,,,,,,
5286,,,,,,,,,,,,,,3300000
5287,,,,,,,,,,,,,,1100000
5288,,,,3000000,,,,,,,,,,
5289,,,,,,,,,,,,,,35000000
5290,,,,,,,,,,,,,,
5291,,,,,,,,,,,,,,
5292,,,,,,,,,,,,,,
5293,,,,,,,,,,,,,,
5294,,,,,,,,,,,,,,6800000
5295,,,,,,,,,,,,,,
5296,,,,,,,,,,,,,,45000000
5297,,,,,,,,,,,,,,417500
5298,,,,,,,,,,,,,,210500
5299,,,250000,,,,,,,,,,,
5300,,,,,,,,,,,,,,1000000
5301,,,,,,,,,,,,,,
5302,,,,,,,,,,,,40000,,
5303,,,,,,,,,,,,,,375000
5304,,,315000,,,,,,,,,,,
5305,,,,,,,,,,,,,,5000000
5306,,,,,20000000,,,,,,,,,
5307,,,,,,,,,,,,,,
5308,,,,,,,,,,,,,,175463420
5309,,,,,2500000,,,,,,,,,
5310,,,,,,,,,,,,,,1478176
5311,,,,,,,,,,,,,,637000
5312,,,,,,,,,,,,25736,,
5313,,,,,,,,,1022369,,,,,
5314,,,,,,,,,9000000,,,,,
5315,,,,,,,,,,,,,,
5316,,,,,,,,,,,,,,
5317,,,,1290000,,,,,,,,,,
5318,,,,,,,,,,,,2000000,,
5319,,,,,,,,,,,,,,9000000
5320,,,,,,,,,,,,,,999987
5321,,,,,,,,,,,,3200000,,
5322,,,,,,,,,,,,580000,,
5323,,,,,,,,,,,,8015,,
5324,,,,,,,,,,,,10000,,
5325,,,,,,,,,,,,,,
5326,,,,,,,,,,,,,,18582360
5327,,,,,,,,,,,,,,31284583
5328,,,,,,,,,,,,,,31000000
5329,,,10000000,,,,,,,,,,,
5330,,,15000000,,,,,,,,,,,
5331,,,,,,,,,,,,,,274997
5332,,,400000,,,,,,,,,,,
5333,,,,,,,,,,,,,,575000
5334,,,300000,,,,,,,,,,,
5335,,,,,,,,,,,,,,279287
5336,,,,,,,,,,,,,,3900000
5337,,,,,,,,,,,,,,
5338,,,,,,,,,,,,30000,,
5339,,,,,,,,,,,,30000,,
5340,,,,,,,,,,,,,,
5341,,,,,,,,,,,,129679,,
5342,,,,,,,,,,,,,,
5343,,,,,,,,,,,,,,
5344,,,1750000,,,,,,,,,,,
5345,,,,,,,,,,,,,,
5346,,,,,,,,,,,,,,15000000
5347,,,,,,,,,,,,,,14000000
5348,,,,,,,,,,,,,,4120000
5349,,,,,,,,,,,,,,2000000
5350,,,,,,,,,,,,,,10000000
5351,,,,,,,,,,,,,,7000000
5352,,,,,,,,,,,,40000,,
5353,,,,,,,,,,,,,,4000000
5354,,,,,,,,,,,,,,410000
5355,,,,,,,,,,,,,,1592697
5356,,,,,,,,,,,,,,
5357,,,,,,,,,,,,,,7000000
5358,,,,,,,,,,,,,,19400000
5359,,,,,,,,,,,,1650000,,
5360,,,,,,,,,,,,,,6500000
5361,,,,,,,,,,,,,,8505908
5362,,,,,,,,,,,,,,
5363,,,68684,,,,,,,,,,,
5364,,,,,,,,,,,,,,25000000
5365,,,,,,,,,,,,,,2500000
5366,,,,,,,,,,,,,150000000,
5367,,,,,,,,,,,,450000,,
5368,,,,,,,,,,,,,,10000000
5369,,,,,,,,,,,,,,2700000
5370,,,,,,,,,,,,,,1609987
5371,,,,,,,,,,,,100000,,
5372,,,,,,,,,,,,,,
5373,,,,,,,,,,,,,,1878538
5374,,,,,,,,,,,,,,202125
5375,,,,,,,,,,,,,,
5376,,,,,,,,,,,,,,9000000
5377,,,,,,,,,,,,,,9782500
5378,,,,,,,,,,,,,,14000000
5379,,,,,,,,,,,,,,
5380,,,,,,,,,,,,,,
5381,,,,,,,,,,,,,,833000
5382,,,,,,,,,,,,,,11250000
5383,,,,,,,,,,,,,,893675
5384,,,,,,,,,,,,,,893675
5385,,,,,,,,,25000000,,,,,
5386,,,,,,,,,,,,,,
5387,,,,,,,,,,,,,,18000000
5388,,,,,,,,,,,,,,22000000
5389,,,,,,,,,,,,,,15000000
5390,,,,,,,,,,,,,,12000000
5391,,,,,,,,,,,,,,5000000
5392,,,,,,,,,,,,,,888722
5393,,,,,,,,,,,,,,129400000
5394,,,,,,,,,,,,,,25000000
5395,,,,,,,,,,,,180187,,
5396,,,,,,,,,,,,,,
5397,,,500000,,,,,,,,,,,
5398,,,,,,,,,,,,,,525000
5399,,,,,,,,,,,,,,
5400,,,,,,,,,,,,,,20000
5401,,,,,,,,,,,,,,100474
5402,,,,,,,,,,,,,,25220
5403,,,,,,,,,,,,,,128218
5404,,,,,,,,,,,,,,256082
5405,,,,,,,,,,,,,,350000
5406,,,,,,,,,,,,,,113991
5407,,,,,,,,,,,,,,251821
5408,,,,,,,,,,,,,,379233
5409,,,,25000,,,,,,,,,,
5410,300000,,,,,,,,,,,,,
5411,100000,,,,,,,,,,,,,
5412,,,,,,,,,,,,,,5000000
5413,,,,,,,,,,,,300000,,
5414,,,,,,,,,,,,150000,,
5415,,,,,,,,,,,,98250,,
5416,,,,,,,,,,,,,,
5417,,,,,,,,,,,,,,711518
5418,,,,,,,,,,,,,,
5419,,,,,,,,,,,,,,2578524
5420,,,,,,,,,,,,,,107000000
5421,,,,,,,,,,,,,,50000000
5422,,,,,,,,,,,,,,67000000
5423,,,,,,,,,,,,,,150000000
5424,,,,,,,,,,,,,,
5425,,,,,,,,,,,,,,
5426,,,,,,,,,,,,,,1367143
5427,,,,,,,,,,,,,,30000000
5428,,,,,,,,,,,,,,2900000
5429,,,,,,,,,,,,,,10000000
5430,,,,,,,,,,,,,,5000000
5431,,,,,,,,,,,,,,5000000
5432,,,,,,,,,,,,,,14000000
5433,,,,,,,,,,,,,,20000000
5434,,,,,,,,,,,,,,23000000
5435,,,,,,,,,,,,,,600000
5436,,,,,,,,,,,,,,12782106
5437,,,,,,,,,,,,18000,,
5438,,,,,,,,,,,,32524,,
5439,,,,,,,,,,,,,,585000
5440,,,,,,,,63300000,,,,,,
5441,,,,,,,,,,,,,,5470000
5442,,,,,,,,,,,,,,295271
5443,,,,,,,,,,,,,,1500000
5444,,,,,,,,,,,,,,10500000
5445,,,,,,,,,,,,,,15000000
5446,,,,,,,,,,,,,,4000000
5447,,,,,,,,,,,,,,6000000
5448,,,,,,,,,,,,,,11000000
5449,,,,,,,,,,,,,,10000000
5450,,,,,,,,,,,,,,8000000
5451,,,,,,,,,,,,,,6000000
5452,,,,,,,,,,,,,,3074955
5453,,,,,,,,,,,,,,8000000
5454,,,,,,,,,,,,,,10500000
5455,,,,,,,,,,,,,,5700000
5456,,,1400000,,,,,,,,,,,
5457,,,,,,,,,,,,2592646,,
5458,,,,,,,,,,,,,,2489114
5459,,,,,,,,,,,,,,7000000
5460,,,,,,,,,,,,,,3600000
5461,,,,,,,,,,,,2500000,,
5462,,,450000,,,,,,,,,,,
5463,,,,,,,,,,,,,,
5464,,,,,,,,,,,,,,
5465,,,,,,,,,,,,,,
5466,,,,,,,,,,,,,,8100000
5467,,,1998340,,,,,,,,,,,
5468,,,,,,,,,,,,,,7142093
5469,,,,,,,,,,,,,,5000000
5470,,,,,,,,,,,,,,20000000
5471,,,,,,,,,,,,,,22094400
5472,,,,,,,,,,,,3456000,,
5473,,,,,,,,,,,,250000,,
5474,,,,,,,,,,,,3000000,,
5475,,,,,,,,,,,,1000000,,
5476,,,500000,,,,,,,,,,,
5477,,,,,,,,,12490999,,,,,
5478,,,,,,,,18000000,,,,,,
5479,,,,,,,,13000000,,,,,,
5480,,62128,,,,,,,,,,,,
5481,,,,,,,,,,,,50000,,
5482,,,,,,,,,,,,,,92904
5483,,,,,,,,,,,,,,
5484,,,,,,,,,,,,,,
5485,,,,,,,,,,,,,,9000000
5486,,,,,,,,,,,,2000000,,
5487,,,,,,,,,,,,,,39079461
5488,,,,,,,,,,,,,,
5489,,,,,,,,,,,,,,40500000
5490,,,1500000,,,,,,,,,,,
5491,467880,,,,,,,,,,,,,
5492,,,,,,,,,,,,,,30000000
5493,,,,,,,,,,,,,,25000000
5494,,,,,,,,,,,,,,
5495,,,,,,,,,,,,,,25000000
5496,,,,,,,,,,,,100000,,
5497,,,,,,,,,,,,,,8000000
5498,,,,,,,,,,,,,,330000
5499,,,,,,,,,,,,,,7300000
5500,,,,,,,,,,,,,,350000
5501,,,,,,,,,,,,,,15000000
5502,,,,,,,,,,,,75000,,
5503,,,,,,,,,,,,875000,,
5504,,,,,,,,,,,,929,,
5505,,,,,,,,,,,,,,
5506,,,,,,,,,,,,,,
5507,,,,,,,,,,,,,,2394302
5508,150000,,,,,,,,,,,,,
